index,home_outcome,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,starplayer_Away,starplayer_Home,starplayer_No
1900,1,25,6.5,3.75,1.57,2009,5,8,8,8,15,9,1,1,0,0,25,32,5,11,47.0,53.0,1,0,0
1901,0,25,1.72,3.4,5.5,2009,8,5,12,3,10,18,1,1,0,0,27,16,8,4,68.0,32.0,0,0,1
1902,0,25,1.61,3.75,6.0,2009,14,5,9,4,7,12,0,1,0,0,21,14,12,3,61.0,39.0,0,1,0
1903,1,25,2.87,3.3,2.5,2009,11,5,6,8,9,9,2,0,0,0,21,23,4,13,50.0,50.0,0,0,1
1904,1,25,2.25,3.3,3.25,2009,4,6,6,5,7,11,2,2,0,0,32,18,3,4,49.0,51.0,0,0,1
1905,1,25,5.0,3.3,1.8,2009,4,4,2,5,12,13,1,0,0,0,12,20,2,4,50.0,50.0,0,0,1
1906,1,25,2.0,3.4,3.8,2009,4,3,7,9,8,11,1,2,0,0,24,19,4,8,54.0,46.0,0,0,1
1907,1,25,1.2,6.0,19.0,2009,12,3,9,9,13,22,1,2,0,0,25,8,13,3,59.0,41.0,0,0,1
1908,0,26,1.25,5.5,13.0,2009,5,6,9,8,9,20,2,2,0,0,16,24,4,6,58.0,42.0,0,1,0
1909,1,26,1.4,4.33,9.0,2009,8,2,9,1,7,12,2,2,0,0,35,9,8,3,64.0,36.0,0,0,1
1910,1,26,1.57,3.75,7.0,2009,7,4,13,4,11,13,1,2,0,0,28,9,6,4,52.0,48.0,0,1,0
1911,1,26,3.3,3.3,2.25,2009,6,9,8,9,10,12,1,3,0,0,28,19,6,11,42.0,58.0,1,0,0
1912,1,26,2.4,3.25,3.0,2009,3,8,4,8,6,15,2,4,0,0,13,10,5,1,53.0,47.0,0,0,1
1913,1,26,2.87,3.25,2.5,2009,1,7,4,10,16,16,0,1,1,0,15,32,0,6,47.0,53.0,0,0,1
1914,0,26,1.8,3.5,4.75,2009,10,7,12,4,12,9,0,1,0,0,18,17,12,4,54.0,46.0,0,0,1
1915,0,26,2.3,3.3,3.1,2009,6,9,4,8,19,14,0,2,0,0,17,35,4,13,46.0,54.0,0,0,1
1916,1,26,3.0,3.3,2.37,2009,3,6,10,4,16,9,2,1,0,0,32,19,11,13,47.0,53.0,0,0,1
1917,1,26,2.5,3.25,2.87,2009,2,3,3,3,7,11,1,3,0,0,23,26,2,3,54.0,46.0,0,0,1
1918,0,27,1.25,5.5,13.0,2009,12,2,6,3,10,8,1,0,0,0,18,9,6,2,52.0,48.0,0,1,0
1919,1,27,1.4,4.33,9.0,2009,6,4,13,10,6,14,0,0,0,0,37,21,11,6,55.0,45.0,0,0,1
1920,1,27,2.87,3.3,2.5,2009,4,8,6,5,18,11,3,2,0,0,17,14,4,1,54.0,46.0,0,0,1
1921,0,27,2.5,3.25,2.87,2009,10,5,2,7,16,18,2,2,0,0,20,20,4,7,50.0,50.0,1,0,0
1922,1,27,1.4,4.0,10.0,2009,5,0,6,7,7,11,1,1,0,0,29,17,6,6,61.0,39.0,0,0,1
1923,0,27,1.5,4.0,7.5,2009,6,10,4,11,9,18,1,1,0,0,22,21,3,6,55.0,45.0,0,0,1
1924,0,27,5.5,3.5,1.72,2009,3,9,2,13,4,7,2,0,0,0,11,21,2,9,56.0,44.0,1,0,0
1925,0,27,2.0,3.3,4.0,2009,5,12,3,10,14,10,2,3,0,0,14,25,1,10,52.0,48.0,0,0,1
1926,1,27,2.87,3.25,2.5,2009,4,5,5,4,13,22,2,3,1,0,20,15,6,4,49.0,51.0,0,0,1
1927,0,27,1.28,5.0,13.0,2009,12,6,4,6,14,15,3,2,0,0,33,19,12,8,57.0,43.0,0,1,0
1928,0,28,1.83,3.5,4.5,2009,4,4,6,10,7,6,0,1,0,0,13,15,4,8,53.0,47.0,0,0,1
1929,1,28,6.5,3.75,1.57,2009,6,4,5,9,20,15,4,0,0,0,16,17,3,4,40.0,60.0,0,0,1
1930,1,28,6.5,3.75,1.57,2009,6,10,6,10,7,16,0,0,0,0,13,22,6,5,50.0,50.0,1,0,0
1931,0,28,2.5,3.25,2.9,2009,3,9,6,9,17,15,2,1,0,0,36,30,6,7,54.0,46.0,0,0,1
1932,1,28,2.2,3.3,3.4,2009,8,2,11,4,9,10,2,5,1,0,27,1,8,1,56.0,44.0,0,0,1
1933,0,28,1.4,4.33,9.5,2009,11,2,10,4,9,6,1,1,0,0,36,8,7,2,58.0,42.0,0,1,0
