,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_outcome,starplayer_Away,starplayer_Home,starplayer_No
1776,13,12.0,5.0,1.3,2008,3,7,10,7,8,8,0,3,0,0,15,24,3,10,49.0,51.0,1,1,0,0
1777,13,2.88,3.25,2.5,2008,3,3,4,5,15,16,2,3,0,0,25,26,3,6,52.0,48.0,1,0,0,1
1778,14,1.25,5.5,15.0,2008,8,5,12,0,7,7,0,0,0,0,27,10,9,3,53.0,47.0,1,0,1,0
1779,14,2.1,3.4,3.5,2008,4,6,11,5,12,16,2,1,0,0,54,9,4,2,56.0,44.0,1,0,0,1
1780,14,1.73,3.75,4.75,2008,10,10,8,3,14,17,2,3,0,0,23,12,6,6,53.0,47.0,0,0,0,1
1781,14,5.0,3.6,1.73,2008,7,5,3,6,13,16,1,0,0,0,13,18,3,6,40.0,60.0,1,1,0,0
1782,14,1.91,3.4,4.33,2008,10,2,12,6,11,17,2,5,0,0,18,12,8,0,51.0,49.0,1,0,0,1
1783,14,3.25,3.4,2.2,2008,4,5,6,6,17,16,0,1,0,0,13,8,3,3,54.0,46.0,0,0,0,1
1784,14,1.8,3.6,4.5,2008,4,7,7,8,12,14,2,1,0,0,18,18,7,7,54.0,46.0,1,0,0,1
1785,14,2.2,3.3,3.4,2008,9,3,2,6,11,9,1,0,0,0,30,17,4,0,55.0,45.0,0,0,0,1
1786,14,2.5,3.3,2.88,2008,7,5,6,5,9,8,0,0,0,0,21,27,3,3,48.0,52.0,0,0,0,1
1787,14,1.2,6.0,19.0,2008,17,0,16,2,12,14,0,2,0,0,28,6,8,1,61.0,39.0,1,0,1,0
1788,15,1.3,5.0,12.0,2008,11,3,15,4,5,9,1,1,0,0,38,5,17,5,56.0,44.0,1,0,1,0
1789,15,2.25,3.3,3.3,2008,6,4,7,6,8,9,4,0,0,0,18,13,5,6,51.0,49.0,1,0,0,1
1790,15,1.91,3.5,4.0,2008,6,5,10,2,10,16,1,3,0,0,22,13,5,1,51.0,49.0,1,0,0,1
1791,15,1.57,3.8,6.5,2008,6,2,12,3,8,16,0,2,0,0,38,14,11,4,56.0,44.0,1,0,0,1
1792,15,2.2,3.3,3.4,2008,7,6,9,5,10,8,1,1,0,0,23,5,7,2,53.0,47.0,1,0,0,1
1793,15,4.33,3.6,1.83,2008,1,8,8,5,17,16,2,5,0,0,13,19,3,8,49.0,51.0,1,1,0,0
1794,15,2.1,3.3,3.6,2008,2,2,3,6,7,11,0,1,0,0,31,32,8,10,53.0,47.0,0,0,0,1
1795,15,2.4,3.4,2.88,2008,8,5,7,2,15,20,2,3,0,0,26,10,5,3,53.0,47.0,1,0,0,1
1796,15,1.73,3.6,5.0,2008,7,9,9,9,11,9,0,2,0,0,22,28,6,7,51.0,49.0,0,0,0,1
1797,15,1.8,3.4,5.0,2008,6,5,9,3,19,16,2,0,0,0,14,10,3,2,58.0,42.0,1,0,1,0
1798,16,1.14,7.5,23.0,2008,10,1,14,0,11,7,1,0,0,0,50,4,10,1,80.0,20.0,0,0,1,0
1799,16,1.33,4.75,11.0,2008,3,7,9,7,14,15,1,2,0,0,12,15,8,3,60.0,40.0,0,0,1,0
1800,16,2.75,3.25,2.62,2008,5,9,9,4,15,15,2,0,0,0,19,25,7,5,53.0,47.0,1,0,0,1
1801,16,2.62,3.25,2.75,2008,7,3,3,0,16,15,2,1,0,0,35,14,8,6,61.0,39.0,1,0,0,1
1802,16,1.8,3.5,4.75,2008,4,4,4,7,10,16,0,1,0,0,18,25,6,3,49.0,51.0,1,0,0,1
1803,16,5.5,3.5,1.73,2008,2,5,4,3,12,10,2,2,0,0,13,17,5,6,41.0,59.0,1,1,0,0
1804,16,2.6,3.2,2.8,2008,7,7,4,8,6,5,2,1,0,0,20,16,10,7,56.0,44.0,1,0,0,1
1805,16,7.0,3.8,1.53,2008,8,4,11,4,14,16,2,1,0,0,17,5,10,2,46.0,54.0,1,1,0,0
1806,16,2.62,3.25,2.75,2008,7,2,7,3,11,12,1,2,0,0,11,8,3,5,46.0,54.0,1,0,0,1
1807,16,2.38,3.25,3.1,2008,6,6,11,2,13,8,1,1,0,1,25,20,7,6,52.0,48.0,0,0,0,1
1808,17,1.33,5.0,10.0,2008,12,3,12,6,12,8,3,3,0,0,49,12,7,4,70.0,30.0,1,0,1,0
1809,17,2.0,3.4,3.8,2008,7,13,7,4,9,17,1,2,0,0,13,22,1,11,48.0,52.0,0,0,0,1
1810,17,4.5,3.5,1.83,2008,5,10,5,5,11,11,1,1,0,0,14,28,4,14,38.0,62.0,1,1,0,0
1811,17,1.67,3.6,5.5,2008,4,1,8,8,8,17,0,1,0,0,17,17,10,2,55.0,45.0,0,0,0,1
1812,17,4.5,3.6,1.8,2008,3,10,5,10,8,11,0,1,0,0,12,16,5,10,48.0,52.0,1,1,0,0
1813,17,2.0,3.4,3.8,2008,6,3,3,8,12,8,0,1,0,0,9,21,5,7,45.0,55.0,1,0,0,1
1814,17,2.05,3.2,3.4,2008,7,2,12,5,14,3,4,1,0,0,19,14,8,5,28.0,72.0,1,0,0,1
1815,17,2.5,3.25,2.88,2008,0,7,6,4,16,4,1,1,0,0,20,21,5,6,43.0,57.0,1,0,0,1
1816,17,2.1,3.3,3.6,2008,1,4,6,7,9,15,1,1,0,0,21,28,7,8,4.0,96.0,0,0,0,1
1817,17,1.25,5.5,15.0,2008,16,1,8,2,12,19,3,2,0,0,22,11,9,4,57.0,43.0,1,0,1,0
1818,18,1.2,6.0,15.0,2009,6,5,5,10,9,10,0,3,0,0,18,22,4,6,51.0,49.0,0,0,1,0
1819,18,2.4,3.25,3.0,2008,3,7,2,5,15,16,3,3,0,0,7,11,2,2,50.0,50.0,1,0,1,0
1820,18,3.0,3.4,2.37,2008,12,6,6,6,7,9,2,1,0,0,25,21,7,6,59.0,41.0,1,0,0,1
1821,18,5.0,3.6,1.73,2008,9,7,2,5,16,11,0,3,0,1,25,9,6,5,44.0,56.0,1,1,0,0
1822,18,2.37,3.4,3.0,2008,3,6,3,5,11,9,3,2,0,0,22,24,4,8,45.0,55.0,0,0,0,1
1823,18,1.83,3.5,4.5,2008,6,4,2,9,13,12,0,2,0,0,12,31,2,6,45.0,55.0,0,0,0,1
